num_cuota,fecha,valor_cuota,capital,interes,saldo_capital
1,2024-07-10,11905.25,4278.17,7627.08,345721.83
2,2024-08-10,11905.25,4120.27,7784.98,341601.56
3,2024-09-10,11905.25,4213.05,7692.20,337388.51
4,2024-10-10,11905.25,4552.99,7352.26,332835.52
5,2024-11-10,11905.25,4410.44,7494.81,328425.08
6,2024-12-10,11905.25,4748.32,7156.93,323676.76
7,2025-01-10,11905.25,4616.68,7288.57,319060.08
8,2025-02-10,11905.25,4720.64,7184.61,314339.44
9,2025-03-10,11905.25,5511.94,6393.31,308827.50
10,2025-04-10,11905.25,4951.06,6954.19,303876.44
11,2025-05-10,11905.25,5283.28,6621.97,298593.16
12,2025-06-10,11905.25,5181.51,6723.74,293411.65
13,2025-07-10,11905.25,5511.32,6393.93,287900.33
14,2025-08-10,11905.25,5422.29,6482.96,282478.04
15,2025-09-10,11905.25,5544.39,6360.86,276933.65
16,2025-10-10,11905.25,5870.40,6034.85,271063.25
17,2025-11-10,11905.25,5801.43,6103.82,265261.82
18,2025-12-10,11905.25,6124.75,5780.50,259137.07
19,2026-01-10,11905.25,6069.99,5835.26,253067.08
20,2026-02-10,11905.25,6206.67,5698.58,246860.41
21,2026-03-10,11905.25,6884.38,5020.87,239976.03
22,2026-04-10,11905.25,6501.46,5403.79,233474.57
23,2026-05-10,11905.25,6817.45,5087.80,226657.12
24,2026-06-10,11905.25,6801.37,5103.88,219855.75
25,2026-07-10,11905.25,7114.23,4791.02,212741.52
26,2026-08-10,11905.25,7114.72,4790.53,205626.80
27,2026-09-10,11905.25,7274.93,4630.32,198351.87
28,2026-10-10,11905.25,7582.83,4322.42,190769.04
29,2026-11-10,11905.25,7609.50,4295.75,183159.54
30,2026-12-10,11905.25,7913.90,3991.35,175245.64
31,2027-01-10,11905.25,7959.06,3946.19,167286.58
32,2027-02-10,11905.25,8138.28,3766.97,159148.30
33,2027-03-10,11905.25,8668.35,3236.90,150479.95
34,2027-04-10,11905.25,8516.73,3388.52,141963.22
35,2027-05-10,11905.25,8811.63,3093.62,133151.59
36,2027-06-10,11905.25,8906.94,2998.31,124244.65
37,2027-07-10,11905.25,9197.75,2707.50,115046.90
38,2027-08-10,11905.25,9314.62,2590.63,105732.28
39,2027-09-10,11905.25,9524.36,2380.89,96207.92
40,2027-10-10,11905.25,9808.72,2096.53,86399.20
41,2027-11-10,11905.25,9959.71,1945.54,76439.49
42,2027-12-10,11905.25,10239.51,1665.74,66199.98
43,2028-01-10,11905.25,10414.56,1490.69,55785.42
44,2028-02-10,11905.25,10649.07,1256.18,45136.35
45,2028-03-10,11905.25,10954.44,950.81,34181.91
46,2028-04-10,11905.25,11135.54,769.71,23046.37
47,2028-05-10,11905.25,11403.03,502.22,11643.34
48,2028-06-10,11905.53,11643.34,262.19,0.00
